Column 1,Column 2,Modifier Indicator
0411T,93010,Misuse of Column Two code with Column One code
0411T,99213,CPT Manual or CMS manual coding instruction
0412T,93000,Misuse of Column Two code with Column One code
0412T,93010,Misuse of Column Two code with Column One code
0412T,99213,CPT Manual or CMS manual coding instruction
0413T,93000,Misuse of Column Two code with Column One code
0413T,93010,Misuse of Column Two code with Column One code
0413T,99213,CPT Manual or CMS manual coding instruction
0414T,93000,Misuse of Column Two code with Column One code
0414T,93010,Misuse of Column Two code with Column One code
0414T,99213,CPT Manual or CMS manual coding instruction
0415T,93000,Misuse of Column Two code with Column One code
0415T,93010,Misuse of Column Two code with Column One code
0415T,99213,CPT Manual or CMS manual coding instruction
0416T,93000,Misuse of Column Two code with Column One code
0416T,93010,Misuse of Column Two code with Column One code
0416T,99213,CPT Manual or CMS manual coding instruction
0417T,93000,CPT Manual or CMS manual coding instruction
0417T,93010,CPT Manual or CMS manual coding instruction
0418T,93000,CPT Manual or CMS manual coding instruction
0418T,93010,CPT Manual or CMS manual coding instruction
0419T,93000,Standards of medical/surgical practice
0419T,93010,Standards of medical/surgical practice
0420T,93000,Standards of medical/surgical practice
0420T,93010,Standards of medical/surgical practice
0421T,93000,Misuse of Column Two code with Column One code
0421T,93010,Misuse of Column Two code with Column One code
0421T,99213,CPT Manual or CMS manual coding instruction
0424T,93000,Misuse of Column Two code with Column One code
0424T,93010,Misuse of Column Two code with Column One code
0424T,99213,CPT Manual or CMS manual coding instruction
0425T,93000,Misuse of Column Two code with Column One code
0425T,93010,Misuse of Column Two code with Column One code
0425T,99213,CPT Manual or CMS manual coding instruction
0426T,93000,Misuse of Column Two code with Column One code
0426T,93010,Misuse of Column Two code with Column One code
0426T,99213,CPT Manual or CMS manual coding instruction
0427T,93000,Misuse of Column Two code with Column One code
0427T,93010,Misuse of Column Two code with Column One code
0427T,99213,CPT Manual or CMS manual coding instruction
0428T,93000,Misuse of Column Two code with Column One code
0428T,93010,Misuse of Column Two code with Column One code
0428T,99213,CPT Manual or CMS manual coding instruction
0429T,93000,Misuse of Column Two code with Column One code
0429T,93010,Misuse of Column Two code with Column One code
0429T,99213,CPT Manual or CMS manual coding instruction
0430T,93000,Misuse of Column Two code with Column One code
0430T,93010,Misuse of Column Two code with Column One code
0430T,99213,CPT Manual or CMS manual coding instruction
0431T,93000,Misuse of Column Two code with Column One code
0431T,93010,Misuse of Column Two code with Column One code
0431T,99213,CPT Manual or CMS manual coding instruction
0432T,93000,Misuse of Column Two code with Column One code
0432T,93010,Misuse of Column Two code with Column One code
0432T,99213,CPT Manual or CMS manual coding instruction
0433T,93000,Misuse of Column Two code with Column One code
0433T,93010,Misuse of Column Two code with Column One code
0433T,99213,CPT Manual or CMS manual coding instruction
0437T,93000,Misuse of Column Two code with Column One code
0437T,93010,Misuse of Column Two code with Column One code
0437T,99213,CPT Manual or CMS manual coding instruction
0438T,93000,Misuse of Column Two code with Column One code
0438T,93010,Misuse of Column Two code with Column One code
0438T,99213,CPT Manual or CMS manual coding instruction
0440T,93000,Misuse of Column Two code with Column One code
0440T,93010,Misuse of Column Two code with Column One code
0440T,99213,CPT Manual or CMS manual coding instruction
0441T,93000,Misuse of Column Two code with Column One code
0441T,93010,Misuse of Column Two code with Column One code
0441T,99213,CPT Manual or CMS manual coding instruction
0442T,93000,Misuse of Column Two code with Column One code
0442T,93010,Misuse of Column Two code with Column One code
0442T,99213,CPT Manual or CMS manual coding instruction
0444T,93000,Misuse of Column Two code with Column One code
0444T,93010,Misuse of Column Two code with Column One code
0444T,99213,CPT Manual or CMS manual coding instruction
0445T,93000,Misuse of Column Two code with Column One code
0445T,93010,Misuse of Column Two code with Column One code
0445T,99213,CPT Manual or CMS manual coding instruction
0446T,93000,Misuse of Column Two code with Column One code
0446T,93010,Misuse of Column Two code with Column One code
0446T,99213,CPT Manual or CMS manual coding instruction
0447T,93000,Misuse of Column Two code with Column One code
0447T,93010,Misuse of Column Two code with Column One code
0447T,99213,CPT Manual or CMS manual coding instruction
0448T,93000,Misuse of Column Two code with Column One code
0448T,93010,Misuse of Column Two code with Column One code
0448T,99213,CPT Manual or CMS manual coding instruction
0449T,93000,Misuse of Column Two code with Column One code
0449T,93010,Misuse of Column Two code with Column One code
0449T,99213,CPT Manual or CMS manual coding instruction
0450T,93000,Misuse of Column Two code with Column One code
0450T,93010,Misuse of Column Two code with Column One code
0450T,99213,CPT Manual or CMS manual coding instruction
0451T,93000,Misuse of Column Two code with Column One code
0451T,93010,Misuse of Column Two code with Column One code
0451T,99213,CPT Manual or CMS manual coding instruction
0452T,93000,Misuse of Column Two code with Column One code
0452T,93010,Misuse of Column Two code with Column One code
0452T,99213,CPT Manual or CMS manual coding instruction
0453T,93000,Misuse of Column Two code with Column One code
0453T,93010,Misuse of Column Two code with Column One code
0453T,99213,CPT Manual or CMS manual coding instruction
0454T,93000,Misuse of Column Two code with Column One code
0454T,93010,Misuse of Column Two code with Column One code
0454T,99213,CPT Manual or CMS manual coding instruction
0455T,93000,Misuse of Column Two code with Column One code
0455T,93010,Misuse of Column Two code with Column One code
0455T,99213,CPT Manual or CMS manual coding instruction
0456T,93000,Misuse of Column Two code with Column One code
0456T,93010,Misuse of Column Two code with Column One code
0456T,99213,CPT Manual or CMS manual coding instruction
0457T,93000,Misuse of Column Two code with Column One code
0457T,93010,Misuse of Column Two code with Column One code
0457T,99213,CPT Manual or CMS manual coding instruction
0458T,93000,Misuse of Column Two code with Column One code
0458T,93010,Misuse of Column Two code with Column One code
0458T,99213,CPT Manual or CMS manual coding instruction
0459T,93000,Misuse of Column Two code with Column One code
0459T,93010,Misuse of Column Two code with Column One code
0459T,99213,CPT Manual or CMS manual coding instruction
0460T,93000,Misuse of Column Two code with Column One code
0460T,93010,Misuse of Column Two code with Column One code
0460T,99213,CPT Manual or CMS manual coding instruction
0461T,93000,Misuse of Column Two code with Column One code
0461T,93010,Misuse of Column Two code with Column One code
0461T,99213,CPT Manual or CMS manual coding instruction
0462T,93000,CPT Manual or CMS manual coding instruction
0462T,93010,CPT Manual or CMS manual coding instruction
0463T,93000,CPT Manual or CMS manual coding instruction
0463T,93010,CPT Manual or CMS manual coding instruction
0465T,93000,Misuse of Column Two code with Column One code
0465T,93010,Misuse of Column Two code with Column One code
0465T,99213,CPT Manual or CMS manual coding instruction
0466T,93000,Misuse of Column Two code with Column One code
0466T,93010,Misuse of Column Two code with Column One code
0466T,99213,CPT Manual or CMS manual coding instruction
0467T,93000,Misuse of Column Two code with Column One code
0467T,93010,Misuse of Column Two code with Column One code
0467T,99213,CPT Manual or CMS manual coding instruction
0468T,93000,Misuse of Column Two code with Column One code
0468T,93010,Misuse of Column Two code with Column One code
0468T,99213,CPT Manual or CMS manual coding instruction
0474T,93000,Misuse of Column Two code with Column One code
0474T,93010,Misuse of Column Two code with Column One code
0474T,99213,CPT Manual or CMS manual coding instruction
0479T,93000,Misuse of Column Two code with Column One code
0479T,93010,Misuse of Column Two code with Column One code
0480T,93000,Misuse of Column Two code with Column One code
0480T,93010,Misuse of Column Two code with Column One code
0481T,36415,CPT Manual or CMS manual coding instruction
0481T,93000,Misuse of Column Two code with Column One code
0481T,93010,Misuse of Column Two code with Column One code
0481T,99213,CPT Manual or CMS manual coding instruction
0483T,93000,Misuse of Column Two code with Column One code
0483T,93010,Misuse of Column Two code with Column One code
0483T,99213,CPT Manual or CMS manual coding instruction
0484T,93000,Misuse of Column Two code with Column One code
0484T,93010,Misuse of Column Two code with Column One code
0484T,99213,CPT Manual or CMS manual coding instruction
0489T,93000,Misuse of Column Two code with Column One code
0489T,93010,Misuse of Column Two code with Column One code
0490T,93000,Misuse of Column Two code with Column One code
0490T,93010,Misuse of Column Two code with Column One code
0491T,93000,Misuse of Column Two code with Column One code
0491T,93010,Misuse of Column Two code with Column One code
0492T,93000,Misuse of Column Two code with Column One code
0492T,93010,Misuse of Column Two code with Column One code
0495T,71046,Misuse of Column Two code with Column One code
0496T,71046,Misuse of Column Two code with Column One code
0497T,93000,HCPCS/CPT procedure code definition
0497T,93010,HCPCS/CPT procedure code definition
0498T,93000,HCPCS/CPT procedure code definition
0498T,93010,HCPCS/CPT procedure code definition
0499T,93000,Standards of medical/surgical practice
0499T,93010,Standards of medical/surgical practice
0505T,93000,Standards of medical/surgical practice
0505T,93010,Standards of medical/surgical practice
0510T,93000,Misuse of Column Two code with Column One code
0510T,93010,Misuse of Column Two code with Column One code
0510T,99213,CPT Manual or CMS manual coding instruction
0511T,93000,Misuse of Column Two code with Column One code
0511T,93010,Misuse of Column Two code with Column One code
0511T,99213,CPT Manual or CMS manual coding instruction
0512T,93000,Misuse of Column Two code with Column One code
0512T,93010,Misuse of Column Two code with Column One code
0512T,99213,CPT Manual or CMS manual coding instruction
0513T,93000,Misuse of Column Two code with Column One code
0513T,93010,Misuse of Column Two code with Column One code
0513T,99213,CPT Manual or CMS manual coding instruction
0514T,93000,Misuse of Column Two code with Column One code
0514T,93010,Misuse of Column Two code with Column One code
0514T,99213,CPT Manual or CMS manual coding instruction
0515T,93000,Misuse of Column Two code with Column One code
0515T,93010,Misuse of Column Two code with Column One code
0515T,99213,CPT Manual or CMS manual coding instruction
0516T,93000,Misuse of Column Two code with Column One code
0516T,93010,Misuse of Column Two code with Column One code
0516T,99213,CPT Manual or CMS manual coding instruction
0517T,93000,Misuse of Column Two code with Column One code
0517T,93010,Misuse of Column Two code with Column One code
0517T,99213,CPT Manual or CMS manual coding instruction
0518T,93000,Misuse of Column Two code with Column One code
0518T,93010,Misuse of Column Two code with Column One code
0518T,99213,CPT Manual or CMS manual coding instruction
0519T,93000,Misuse of Column Two code with Column One code
0519T,93010,Misuse of Column Two code with Column One code
0519T,99213,CPT Manual or CMS manual coding instruction
0520T,93000,Misuse of Column Two code with Column One code
0520T,93010,Misuse of Column Two code with Column One code
0520T,99213,CPT Manual or CMS manual coding instruction
0521T,93000,CPT Manual or CMS manual coding instruction
0521T,93010,CPT Manual or CMS manual coding instruction
0522T,93000,CPT Manual or CMS manual coding instruction
0522T,93010,CPT Manual or CMS manual coding instruction
0523T,93000,Misuse of Column Two code with Column One code
0523T,93010,Misuse of Column Two code with Column One code
0523T,99213,CPT Manual or CMS manual coding instruction
0524T,93000,Misuse of Column Two code with Column One code
0524T,93010,Misuse of Column Two code with Column One code
0524T,99213,CPT Manual or CMS manual coding instruction
0525T,93000,CPT Manual or CMS manual coding instruction
0525T,93010,CPT Manual or CMS manual coding instruction
0526T,93000,CPT Manual or CMS manual coding instruction
0526T,93010,CPT Manual or CMS manual coding instruction
0527T,93000,CPT Manual or CMS manual coding instruction
0527T,93010,CPT Manual or CMS manual coding instruction
0528T,93000,CPT Manual or CMS manual coding instruction
0528T,93010,CPT Manual or CMS manual coding instruction
0529T,93000,CPT Manual or CMS manual coding instruction
0529T,93010,CPT Manual or CMS manual coding instruction
0530T,93000,Standards of medical/surgical practice
0530T,93010,Standards of medical/surgical practice
0531T,93000,Standards of medical/surgical practice
0531T,93010,Standards of medical/surgical practice
0532T,93000,Standards of medical/surgical practice
0532T,93010,Standards of medical/surgical practice
0537T,93000,Misuse of Column Two code with Column One code
0537T,93010,Misuse of Column Two code with Column One code
0537T,99213,CPT Manual or CMS manual coding instruction
0537T,99282,Standards of medical/surgical practice
0537T,99283,Standards of medical/surgical practice
0538T,93000,Misuse of Column Two code with Column One code
0538T,93010,Misuse of Column Two code with Column One code
0538T,99213,CPT Manual or CMS manual coding instruction
0539T,93000,Misuse of Column Two code with Column One code
0539T,93010,Misuse of Column Two code with Column One code
0539T,99213,CPT Manual or CMS manual coding instruction
0540T,93000,Misuse of Column Two code with Column One code
0540T,93010,Misuse of Column Two code with Column One code
0540T,99213,CPT Manual or CMS manual coding instruction
0540T,99282,CPT Manual or CMS manual coding instruction
0540T,99283,CPT Manual or CMS manual coding instruction
0545T,93000,Misuse of Column Two code with Column One code
0545T,93010,Misuse of Column Two code with Column One code
0549T,93000,Misuse of Column Two code with Column One code
0549T,93010,Misuse of Column Two code with Column One code
0550T,93000,Misuse of Column Two code with Column One code
0550T,93010,Misuse of Column Two code with Column One code
0552T,93000,Standards of medical/surgical practice
0552T,93010,Standards of medical/surgical practice
0553T,93000,Misuse of Column Two code with Column One code
0553T,93010,Misuse of Column Two code with Column One code
0563T,93000,Misuse of Column Two code with Column One code
0563T,93010,Misuse of Column Two code with Column One code
0563T,99213,CPT Manual or CMS manual coding instruction
0565T,93000,Misuse of Column Two code with Column One code
0565T,93010,Misuse of Column Two code with Column One code
0566T,93000,Misuse of Column Two code with Column One code
0566T,93010,Misuse of Column Two code with Column One code
0566T,99213,CPT Manual or CMS manual coding instruction
0575T,93000,CPT Manual or CMS manual coding instruction
0575T,93010,CPT Manual or CMS manual coding instruction
0576T,93000,CPT Manual or CMS manual coding instruction
0576T,93010,CPT Manual or CMS manual coding instruction
0577T,93000,CPT Manual or CMS manual coding instruction
0577T,93010,CPT Manual or CMS manual coding instruction
0578T,93000,CPT Manual or CMS manual coding instruction
0578T,93010,CPT Manual or CMS manual coding instruction
0579T,93000,CPT Manual or CMS manual coding instruction
0579T,93010,CPT Manual or CMS manual coding instruction
0582T,93000,Misuse of Column Two code with Column One code
0582T,93010,Misuse of Column Two code with Column One code
0583T,93000,Standards of medical/surgical practice
0583T,93010,Standards of medical/surgical practice
0584T,93000,Standards of medical/surgical practice
0584T,93010,Standards of medical/surgical practice
0585T,93000,Standards of medical/surgical practice
0585T,93010,Standards of medical/surgical practice
0586T,93000,Standards of medical/surgical practice
0586T,93010,Standards of medical/surgical practice
0587T,93000,Standards of medical/surgical practice
0587T,93010,Standards of medical/surgical practice
0588T,93000,Standards of medical/surgical practice
0588T,93010,Standards of medical/surgical practice
0591T,93000,Standards of medical/surgical practice
0591T,93010,Standards of medical/surgical practice
0592T,93000,Standards of medical/surgical practice
0592T,93010,Standards of medical/surgical practice
0593T,93000,Standards of medical/surgical practice
0593T,93010,Standards of medical/surgical practice
0594T,93000,Misuse of Column Two code with Column One code
0594T,93010,Misuse of Column Two code with Column One code
0594T,99213,CPT Manual or CMS manual coding instruction
0596T,93000,Standards of medical/surgical practice
0596T,93010,Standards of medical/surgical practice
0597T,93000,Standards of medical/surgical practice
0597T,93010,Standards of medical/surgical practice
0600T,93000,Misuse of Column Two code with Column One code
0600T,93010,Misuse of Column Two code with Column One code
0600T,99213,CPT Manual or CMS manual coding instruction
0601T,93000,Misuse of Column Two code with Column One code
0601T,93010,Misuse of Column Two code with Column One code
0601T,99213,CPT Manual or CMS manual coding instruction
0613T,93000,Misuse of Column Two code with Column One code
0613T,93010,Misuse of Column Two code with Column One code
0613T,99213,CPT Manual or CMS manual coding instruction
0614T,93000,Misuse of Column Two code with Column One code
0614T,93010,Misuse of Column Two code with Column One code
0614T,99213,CPT Manual or CMS manual coding instruction
0616T,93000,Misuse of Column Two code with Column One code
0616T,93010,Misuse of Column Two code with Column One code
0616T,99213,CPT Manual or CMS manual coding instruction
0617T,93000,Misuse of Column Two code with Column One code
0617T,93010,Misuse of Column Two code with Column One code
0617T,99213,CPT Manual or CMS manual coding instruction
0618T,93000,Misuse of Column Two code with Column One code
0618T,93010,Misuse of Column Two code with Column One code
0618T,99213,CPT Manual or CMS manual coding instruction
0619T,93000,Misuse of Column Two code with Column One code
0619T,93010,Misuse of Column Two code with Column One code
0619T,99213,CPT Manual or CMS manual coding instruction
0620T,93000,Misuse of Column Two code with Column One code
0620T,93010,Misuse of Column Two code with Column One code
0620T,99213,CPT Manual or CMS manual coding instruction
0621T,93000,Misuse of Column Two code with Column One code
0621T,93010,Misuse of Column Two code with Column One code
0621T,99213,CPT Manual or CMS manual coding instruction
0622T,93000,Misuse of Column Two code with Column One code
0622T,93010,Misuse of Column Two code with Column One code
0622T,99213,CPT Manual or CMS manual coding instruction
0627T,93000,Standards of medical/surgical practice
0627T,93010,Standards of medical/surgical practice
0628T,93000,Standards of medical/surgical practice
0628T,93010,Standards of medical/surgical practice
0629T,93000,Standards of medical/surgical practice
0629T,93010,Standards of medical/surgical practice
0630T,93000,Standards of medical/surgical practice
0630T,93010,Standards of medical/surgical practice
0632T,93000,Standards of medical/surgical practice
0632T,93010,Standards of medical/surgical practice
0643T,93000,Misuse of Column Two code with Column One code
0643T,93010,Misuse of Column Two code with Column One code
0643T,99213,CPT Manual or CMS manual coding instruction
0644T,93000,Misuse of Column Two code with Column One code
0644T,93010,Misuse of Column Two code with Column One code
0644T,99213,CPT Manual or CMS manual coding instruction
0645T,93000,Misuse of Column Two code with Column One code
0645T,93010,Misuse of Column Two code with Column One code
0645T,99213,CPT Manual or CMS manual coding instruction
0646T,93000,Misuse of Column Two code with Column One code
0646T,93010,Misuse of Column Two code with Column One code
0646T,99213,CPT Manual or CMS manual coding instruction
0647T,93000,Misuse of Column Two code with Column One code
0647T,93010,Misuse of Column Two code with Column One code
0647T,99213,CPT Manual or CMS manual coding instruction
0652T,93000,Misuse of Column Two code with Column One code
0652T,93010,Misuse of Column Two code with Column One code
0652T,99213,CPT Manual or CMS manual coding instruction
0653T,93000,Misuse of Column Two code with Column One code
0653T,93010,Misuse of Column Two code with Column One code
0653T,99213,CPT Manual or CMS manual coding instruction
0654T,93000,Misuse of Column Two code with Column One code
0654T,93010,Misuse of Column Two code with Column One code
0654T,99213,CPT Manual or CMS manual coding instruction
0660T,93000,Misuse of Column Two code with Column One code
0660T,93010,Misuse of Column Two code with Column One code
0660T,99213,CPT Manual or CMS manual coding instruction
0661T,93000,Misuse of Column Two code with Column One code
0661T,93010,Misuse of Column Two code with Column One code
0661T,99213,CPT Manual or CMS manual coding instruction
0664T,93000,Misuse of Column Two code with Column One code
0664T,93010,Misuse of Column Two code with Column One code
0664T,99213,CPT Manual or CMS manual coding instruction
0665T,93000,Misuse of Column Two code with Column One code
0665T,93010,Misuse of Column Two code with Column One code
0665T,99213,CPT Manual or CMS manual coding instruction
0666T,93000,Misuse of Column Two code with Column One code
0666T,93010,Misuse of Column Two code with Column One code
0666T,99213,CPT Manual or CMS manual coding instruction
0667T,93000,Misuse of Column Two code with Column One code
0667T,93010,Misuse of Column Two code with Column One code
0667T,99213,CPT Manual or CMS manual coding instruction
0671T,93000,Misuse of Column Two code with Column One code
0671T,93010,Misuse of Column Two code with Column One code
0671T,99213,CPT Manual or CMS manual coding instruction
0673T,93000,Misuse of Column Two code with Column One code
0673T,93010,Misuse of Column Two code with Column One code
0673T,99213,CPT Manual or CMS manual coding instruction
0674T,93000,Misuse of Column Two code with Column One code
0674T,93010,Misuse of Column Two code with Column One code
0674T,99213,CPT Manual or CMS manual coding instruction
0675T,93000,Misuse of Column Two code with Column One code
0675T,93010,Misuse of Column Two code with Column One code
0675T,99213,CPT Manual or CMS manual coding instruction
0676T,93000,Misuse of Column Two code with Column One code
0676T,93010,Misuse of Column Two code with Column One code
0676T,99213,CPT Manual or CMS manual coding instruction
0677T,93000,Misuse of Column Two code with Column One code
0677T,93010,Misuse of Column Two code with Column One code
0677T,99213,CPT Manual or CMS manual coding instruction
0678T,93000,Misuse of Column Two code with Column One code
0678T,93010,Misuse of Column Two code with Column One code
0678T,99213,CPT Manual or CMS manual coding instruction
0679T,93000,Misuse of Column Two code with Column One code
0679T,93010,Misuse of Column Two code with Column One code
0679T,99213,CPT Manual or CMS manual coding instruction
0680T,93000,Misuse of Column Two code with Column One code
0680T,93010,Misuse of Column Two code with Column One code
0680T,99213,CPT Manual or CMS manual coding instruction
0681T,93000,Misuse of Column Two code with Column One code
0681T,93010,Misuse of Column Two code with Column One code
0681T,99213,CPT Manual or CMS manual coding instruction
0682T,93000,Misuse of Column Two code with Column One code
0682T,93010,Misuse of Column Two code with Column One code
0682T,99213,CPT Manual or CMS manual coding instruction
0686T,93000,Misuse of Column Two code with Column One code
0686T,93010,Misuse of Column Two code with Column One code
0692T,99282,Standards of medical/surgical practice
0692T,99283,Standards of medical/surgical practice
0695T,93000,CPT Manual or CMS manual coding instruction
0695T,93010,CPT Manual or CMS manual coding instruction
0696T,93000,CPT Manual or CMS manual coding instruction
0696T,93010,CPT Manual or CMS manual coding instruction
0699T,93000,Misuse of Column Two code with Column One code
0699T,93010,Misuse of Column Two code with Column One code
0699T,99213,CPT Manual or CMS manual coding instruction
0707T,93000,Misuse of Column Two code with Column One code
0707T,93010,Misuse of Column Two code with Column One code
0707T,99213,CPT Manual or CMS manual coding instruction
0708T,93000,Misuse of Column Two code with Column One code
0708T,93010,Misuse of Column Two code with Column One code
0708T,99213,CPT Manual or CMS manual coding instruction
0709T,93000,Misuse of Column Two code with Column One code
0709T,93010,Misuse of Column Two code with Column One code
0709T,99213,CPT Manual or CMS manual coding instruction
0710T,93000,Misuse of Column Two code with Column One code
0710T,93010,Misuse of Column Two code with Column One code
0710T,99213,CPT Manual or CMS manual coding instruction
0711T,93000,Misuse of Column Two code with Column One code
0711T,93010,Misuse of Column Two code with Column One code
0711T,99213,CPT Manual or CMS manual coding instruction
0712T,93000,Misuse of Column Two code with Column One code
0712T,93010,Misuse of Column Two code with Column One code
0712T,99213,CPT Manual or CMS manual coding instruction
0713T,93000,Misuse of Column Two code with Column One code
0713T,93010,Misuse of Column Two code with Column One code
0713T,99213,CPT Manual or CMS manual coding instruction
0714T,93000,Misuse of Column Two code with Column One code
0714T,93010,Misuse of Column Two code with Column One code
0714T,99213,CPT Manual or CMS manual coding instruction
0715T,93000,Misuse of Column Two code with Column One code
0715T,93010,Misuse of Column Two code with Column One code
0715T,99213,CPT Manual or CMS manual coding instruction
0716T,93000,Misuse of Column Two code with Column One code
0716T,93010,Misuse of Column Two code with Column One code
0716T,99213,CPT Manual or CMS manual coding instruction
0717T,93000,Misuse of Column Two code with Column One code
0717T,93010,Misuse of Column Two code with Column One code
0717T,99213,CPT Manual or CMS manual coding instruction
0718T,93000,Misuse of Column Two code with Column One code
0718T,93010,Misuse of Column Two code with Column One code
0718T,99213,CPT Manual or CMS manual coding instruction
0719T,93000,Misuse of Column Two code with Column One code
0719T,93010,Misuse of Column Two code with Column One code
0719T,99213,CPT Manual or CMS manual coding instruction
0720T,93000,Misuse of Column Two code with Column One code
0720T,93010,Misuse of Column Two code with Column One code
0720T,99213,CPT Manual or CMS manual coding instruction
0721T,93000,Misuse of Column Two code with Column One code
0721T,93010,Misuse of Column Two code with Column One code
0721T,99213,CPT Manual or CMS manual coding instruction
0722T,93000,Misuse of Column Two code with Column One code
0722T,93010,Misuse of Column Two code with Column One code
0722T,99213,CPT Manual or CMS manual coding instruction
0723T,93000,Misuse of Column Two code with Column One code
0723T,93010,Misuse of Column Two code with Column One code
0723T,99213,CPT Manual or CMS manual coding instruction
0724T,93000,Misuse of Column Two code with Column One code
0724T,93010,Misuse of Column Two code with Column One code
0724T,99213,CPT Manual or CMS manual coding instruction
0725T,93000,Misuse of Column Two code with Column One code
0725T,93010,Misuse of Column Two code with Column One code
0725T,99213,CPT Manual or CMS manual coding instruction
0726T,93000,Misuse of Column Two code with Column One code
0726T,93010,Misuse of Column Two code with Column One code
0726T,99213,CPT Manual or CMS manual coding instruction
0727T,93000,Misuse of Column Two code with Column One code
0727T,93010,Misuse of Column Two code with Column One code
0727T,99213,CPT Manual or CMS manual coding instruction
0728T,93000,Misuse of Column Two code with Column One code
0728T,93010,Misuse of Column Two code with Column One code
0728T,99213,CPT Manual or CMS manual coding instruction
0729T,93000,Misuse of Column Two code with Column One code
0729T,93010,Misuse of Column Two code with Column One code
0729T,99213,CPT Manual or CMS manual coding instruction
0730T,93000,Misuse of Column Two code with Column One code
0730T,93010,Misuse of Column Two code with Column One code
0730T,99213,CPT Manual or CMS manual coding instruction
0731T,93000,Misuse of Column Two code with Column One code
0731T,93010,Misuse of Column Two code with Column One code
0731T,99213,CPT Manual or CMS manual coding instruction
0732T,93000,Misuse of Column Two code with Column One code
0732T,93010,Misuse of Column Two code with Column One code
0732T,99213,CPT Manual or CMS manual coding instruction
0733T,93000,Misuse of Column Two code with Column One code
0733T,93010,Misuse of Column Two code with Column One code
0733T,99213,CPT Manual or CMS manual coding instruction
0734T,93000,Misuse of Column Two code with Column One code
0734T,93010,Misuse of Column Two code with Column One code
0734T,99213,CPT Manual or CMS manual coding instruction
0735T,93000,Misuse of Column Two code with Column One code
0735T,93010,Misuse of Column Two code with Column One code
0735T,99213,CPT Manual or CMS manual coding instruction
0736T,93000,Misuse of Column Two code with Column One code
0736T,93010,Misuse of Column Two code with Column One code
0736T,99213,CPT Manual or CMS manual coding instruction
0737T,93000,Misuse of Column Two code with Column One code
0737T,93010,Misuse of Column Two code with Column One code
0737T,99213,CPT Manual or CMS manual coding instruction
0738T,93000,Misuse of Column Two code with Column One code
0738T,93010,Misuse of Column Two code with Column One code
0738T,99213,CPT Manual or CMS manual coding instruction
0739T,93000,Misuse of Column Two code with Column One code
0739T,93010,Misuse of Column Two code with Column One code
0739T,99213,CPT Manual or CMS manual coding instruction
0740T,93000,Misuse of Column Two code with Column One code
0740T,93010,Misuse of Column Two code with Column One code
0740T,99213,CPT Manual or CMS manual coding instruction
0741T,93000,Misuse of Column Two code with Column One code
0741T,93010,Misuse of Column Two code with Column One code
0741T,99213,CPT Manual or CMS manual coding instruction
0742T,93000,Misuse of Column Two code with Column One code
0742T,93010,Misuse of Column Two code with Column One code
0742T,99213,CPT Manual or CMS manual coding instruction
0743T,93000,Misuse of Column Two code with Column One code
0743T,93010,Misuse of Column Two code with Column One code
0743T,99213,CPT Manual or CMS manual coding instruction
0744T,93000,Misuse of Column Two code with Column One code
0744T,93010,Misuse of Column Two code with Column One code
0744T,99213,CPT Manual or CMS manual coding instruction
0745T,93000,Misuse of Column Two code with Column One code
0745T,93010,Misuse of Column Two code with Column One code
0745T,99213,CPT Manual or CMS manual coding instruction
0746T,93000,Misuse of Column Two code with Column One code
0746T,93010,Misuse of Column Two code with Column One code
0746T,99213,CPT Manual or CMS manual coding instruction
0747T,93000,Misuse of Column Two code with Column One code
0747T,93010,Misuse of Column Two code with Column One code
0747T,99213,CPT Manual or CMS manual coding instruction
0748T,93000,Misuse of Column Two code with Column One code
0748T,93010,Misuse of Column Two code with Column One code
0748T,99213,CPT Manual or CMS manual coding instruction
0867T,93000,CPT Manual or CMS manual coding instruction
0867T,93010,CPT Manual or CMS manual coding instruction
0867T,99213,CPT Manual or CMS manual coding instruction
0868T,93000,CPT Manual or CMS manual coding instruction
0868T,93010,CPT Manual or CMS manual coding instruction
0868T,99213,CPT Manual or CMS manual coding instruction
0869T,93000,Misuse of Column Two code with Column One code
0869T,93010,Misuse of Column Two code with Column One code
0869T,99213,CPT Manual or CMS manual coding instruction
0870T,93000,CPT Manual or CMS manual coding instruction
0870T,93010,CPT Manual or CMS manual coding instruction
0870T,99213,CPT Manual or CMS manual coding instruction
0871T,93000,Misuse of Column Two code with Column One code
0871T,93010,Misuse of Column Two code with Column One code
0871T,99213,CPT Manual or CMS manual coding instruction
0872T,93000,CPT Manual or CMS manual coding instruction
0872T,93010,CPT Manual or CMS manual coding instruction
0872T,99213,CPT Manual or CMS manual coding instruction
0873T,93000,CPT Manual or CMS manual coding instruction
0873T,93010,CPT Manual or CMS manual coding instruction
0873T,99213,CPT Manual or CMS manual coding instruction
0874T,93000,CPT Manual or CMS manual coding instruction
0874T,93010,CPT Manual or CMS manual coding instruction
0874T,99213,CPT Manual or CMS manual coding instruction
0875T,93000,CPT Manual or CMS manual coding instruction
0875T,93010,CPT Manual or CMS manual coding instruction
0875T,99213,CPT Manual or CMS manual coding instruction
0876T,93000,CPT Manual or CMS manual coding instruction
0876T,93010,CPT Manual or CMS manual coding instruction
0876T,99213,CPT Manual or CMS manual coding instruction
0879T,99213,CPT Manual or CMS manual coding instruction
0880T,99213,CPT Manual or CMS manual coding instruction
0881T,93000,Misuse of Column Two code with Column One code
